"","probe_ID","TE_Identity","Class","Family","SubFamily"
"766","ILMN_3198636","Simple_repeat:Simple_repeat:(TA)n","Simple_repeat","Simple_repeat","(TA)n"
"772","ILMN_3308871","DNA:hAT-Tip100:MER91C","DNA","hAT-Tip100","MER91C"
"774","ILMN_2079322","LTR:ERV1:LTR21A","LTR","ERV1","LTR21A"
"775","ILMN_1665081","LINE:L1:L1ME1","LINE","L1","L1ME1"
"778","ILMN_3185204","LINE:L1:L1MA4A","LINE","L1","L1MA4A"
"779","ILMN_1783024","LTR:Gypsy:MamGyp-int","LTR","Gypsy","MamGyp-int"
"790","ILMN_1699183","Satellite:Satellite:(GAATG)n","Satellite","Satellite","(GAATG)n"
"791","ILMN_1654288","Satellite:Satellite:(GAATG)n","Satellite","Satellite","(GAATG)n"
"810","ILMN_3251582","SINE:MIR:MIRc","SINE","MIR","MIRc"
"814","ILMN_1654137","LTR:ERVK:HERVK14C-int","LTR","ERVK","HERVK14C-int"
"820","ILMN_1700543","LTR:ERVL:ERV3-16A3_I-int","LTR","ERVL","ERV3-16A3_I-int"
"823","ILMN_1715696","DNA:hAT-Charlie:MER5B","DNA","hAT-Charlie","MER5B"
"824","ILMN_1690583","Simple_repeat:Simple_repeat:(TTA)n","Simple_repeat","Simple_repeat","(TTA)n"
"825","ILMN_1666200","Unknown:Unknown:MamRep605","Unknown","Unknown","MamRep605"
"826","ILMN_1724309","DNA:hAT-Charlie:Charlie4z","DNA","hAT-Charlie","Charlie4z"
"828","ILMN_1763556","LINE:L2:L2","LINE","L2","L2"
"829","ILMN_1768112","LTR:ERV1:MER57E1","LTR","ERV1","MER57E1"
"833","ILMN_3242048","Simple_repeat:Simple_repeat:(CA)n","Simple_repeat","Simple_repeat","(CA)n"
"835","ILMN_1690583","Simple_repeat:Simple_repeat:(TAA)n","Simple_repeat","Simple_repeat","(TAA)n"
"836","ILMN_1690583","LTR:ERVL-MaLR:THE1D","LTR","ERVL-MaLR","THE1D"
"844","ILMN_1688213","LTR:ERVL:MER21A","LTR","ERVL","MER21A"
"847","ILMN_3242048","Simple_repeat:Simple_repeat:(TG)n","Simple_repeat","Simple_repeat","(TG)n"
"870","ILMN_1676925","LTR:ERVL-MaLR:MLT1A1-int","LTR","ERVL-MaLR","MLT1A1-int"
"874","ILMN_2125590","LINE:L1:L1P2","LINE","L1","L1P2"
"875","ILMN_1675591","LTR:ERV1:HERV17-int","LTR","ERV1","HERV17-int"
"877","ILMN_3231127","LINE:CR1:L3","LINE","CR1","L3"
"881","ILMN_2057836","snRNA:snRNA:U2","snRNA","snRNA","U2"
"888","ILMN_1680972","LTR:ERV1:HERV17-int","LTR","ERV1","HERV17-int"
"905","ILMN_1737950","Low_complexity:Low_complexity:GC_rich","Low_complexity","Low_complexity","GC_rich"
"913","ILMN_1782237","LTR:ERV1:HUERS-P1-int","LTR","ERV1","HUERS-P1-int"
"917","ILMN_1784901","Simple_repeat:Simple_repeat:(ATGGTG)n","Simple_repeat","Simple_repeat","(ATGGTG)n"
"919","ILMN_3189286","DNA:hAT-Tip100:MER91B","DNA","hAT-Tip100","MER91B"
"920","ILMN_1859109","DNA:hAT-Tip100:MER91B","DNA","hAT-Tip100","MER91B"
"921","ILMN_1859109","LINE:L2:L2","LINE","L2","L2"
"922","ILMN_3186410","LINE:L2:L2","LINE","L2","L2"
"923","ILMN_3262876","LINE:L2:L2","LINE","L2","L2"
"924","ILMN_3272576","LINE:L2:L2","LINE","L2","L2"
"932","ILMN_1853775","LINE:L1:L1MB7","LINE","L1","L1MB7"
"940","ILMN_1805258","snRNA:snRNA:U6","snRNA","snRNA","U6"
"941","ILMN_2082893","SINE:Alu:AluJo","SINE","Alu","AluJo"
"942","ILMN_3210304","SINE:Alu:FLAM_C","SINE","Alu","FLAM_C"
"943","ILMN_3286809","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"944","ILMN_3286809","SINE:Alu:FLAM_C","SINE","Alu","FLAM_C"
"949","ILMN_3231944","SINE:Alu:FLAM_C","SINE","Alu","FLAM_C"
"958","ILMN_1870947","Simple_repeat:Simple_repeat:(TG)n","Simple_repeat","Simple_repeat","(TG)n"
"960","ILMN_1679274","LINE:L1:L1M3c","LINE","L1","L1M3c"
"967","ILMN_1757555","SINE:MIR:MIRc","SINE","MIR","MIRc"
"968","ILMN_1785455","LINE:L1:L1MA3","LINE","L1","L1MA3"
"969","ILMN_3271858","LINE:L2:L2","LINE","L2","L2"
"970","ILMN_1659862","SINE:MIR:MIR","SINE","MIR","MIR"
"972","ILMN_1774111","LTR:ERV1:LTR12_","LTR","ERV1","LTR12_"
"975","ILMN_1785455","LINE:L1:L1ME4a","LINE","L1","L1ME4a"
"977","ILMN_1659862","SINE:MIR:MIRb","SINE","MIR","MIRb"
"978","ILMN_3250132","SINE:Alu:AluJr","SINE","Alu","AluJr"
"982","ILMN_1668895","SINE:MIR:MIRc","SINE","MIR","MIRc"
"983","ILMN_1713650","SINE:MIR:MIRb","SINE","MIR","MIRb"
"986","ILMN_3235373","SINE:MIR:MIR3","SINE","MIR","MIR3"
"1003","ILMN_1680302","SINE:MIR:MIR","SINE","MIR","MIR"
"1005","ILMN_1784764","LINE:L2:L2b","LINE","L2","L2b"
"1007","ILMN_3246199","LTR:ERV1:MER101-int","LTR","ERV1","MER101-int"
"1008","ILMN_1658647","LTR:ERV1:MER101-int","LTR","ERV1","MER101-int"
"1012","ILMN_1669574","DNA:TcMar-Tigger:Tigger6a","DNA","TcMar-Tigger","Tigger6a"
"1013","ILMN_1763685","SINE:Alu:AluSq","SINE","Alu","AluSq"
"1027","ILMN_1710192","SINE:Alu:AluJo","SINE","Alu","AluJo"
"1028","ILMN_1667087","LINE:L2:L2","LINE","L2","L2"
"1029","ILMN_3269141","LTR:ERVL:MLT2B1","LTR","ERVL","MLT2B1"
"1031","ILMN_1667087","LINE:L2:L2b","LINE","L2","L2b"
"1032","ILMN_1709164","SINE:Alu:AluJo","SINE","Alu","AluJo"
"1034","ILMN_1787746","LTR:ERV1:LTR48","LTR","ERV1","LTR48"
"1035","ILMN_1659692","DNA:hAT-Charlie:MER113","DNA","hAT-Charlie","MER113"
"1036","ILMN_1694887","SINE:Alu:AluJr","SINE","Alu","AluJr"
"1038","ILMN_1910120","DNA:hAT-Charlie:MER113B","DNA","hAT-Charlie","MER113B"
"1039","ILMN_1910120","LTR:ERVL-MaLR:MLT1H","LTR","ERVL-MaLR","MLT1H"
"1049","ILMN_1784764","LINE:L2:L2c","LINE","L2","L2c"
"1054","ILMN_1720477","SINE:Alu:AluSq","SINE","Alu","AluSq"
"1055","ILMN_1657286","SINE:Alu:AluJb","SINE","Alu","AluJb"
