	orig.ident	nCount_RNA	nFeature_RNA	Sample_ID	Cell_type
HSC_-G-CSF_A06	HSC_-G-CSF	334630.001	18330	A06	HSC_-G-CSF
Keratinocytes_A06	Keratinocytes	212673.1231	6777	A06	Keratinocytes
Erythroblast_A06	Erythroblast	79671.65959	8703	A06	Erythroblast
Epithelial_cells_A06	Epithelial_cells	143133.9068	5249	A06	Epithelial_cells
Fibroblasts_A06	Fibroblasts	512059.1146	18155	A06	Fibroblasts
Osteoblasts_A06	Osteoblasts	2834797.501	41068	A06	Osteoblasts
BM & Prog._A06	BM & Prog.	159090.7285	14505	A06	BM & Prog.
Embryonic_stem_cells_A06	Embryonic_stem_cells	142999.9371	4743	A06	Embryonic_stem_cells
MSC_A06	MSC	793629.6935	24667	A06	MSC
T_cells_A12	T_cells	41208331.67	52035	A12	T_cells
Monocyte_A12	Monocyte	20046489.04	45492	A12	Monocyte
Myelocyte_A12	Myelocyte	794827.0787	25364	A12	Myelocyte
NK_cell_A12	NK_cell	29403280.08	50351	A12	NK_cell
Macrophage_A12	Macrophage	3205024.168	33607	A12	Macrophage
Platelets_A12	Platelets	345440.0721	15326	A12	Platelets
B_cell_A12	B_cell	5890809.433	38899	A12	B_cell
GMP_A12	GMP	4258517.554	35524	A12	GMP
Pro-Myelocyte_A12	Pro-Myelocyte	227037.223	17428	A12	Pro-Myelocyte
Pre-B_cell_CD34-_A12	Pre-B_cell_CD34-	1676201.272	28659	A12	Pre-B_cell_CD34-
BM_A12	BM	17129.90713	2260	A12	BM
Pro-B_cell_CD34+_A12	Pro-B_cell_CD34+	2721147.033	34959	A12	Pro-B_cell_CD34+
Neurons_A12	Neurons	18096300.65	55565	A12	Neurons
Neutrophils_A12	Neutrophils	977739.9732	26309	A12	Neutrophils
Endothelial_cells_A12	Endothelial_cells	188215.1881	8054	A12	Endothelial_cells
CMP_A12	CMP	458756.9551	22913	A12	CMP
Astrocyte_A12	Astrocyte	12656641.44	54152	A12	Astrocyte
DC_A12	DC	829505.5062	25214	A12	DC
Chondrocytes_A12	Chondrocytes	139008.4212	4887	A12	Chondrocytes
Hepatocytes_A12	Hepatocytes	116474.1315	5027	A12	Hepatocytes
Gametocytes_A12	Gametocytes	389984.6998	11973	A12	Gametocytes
Smooth_muscle_cells_A12	Smooth_muscle_cells	474465.2301	18033	A12	Smooth_muscle_cells
MEP_A12	MEP	1575134.134	32461	A12	MEP
Tissue_stem_cells_A12	Tissue_stem_cells	28122.57474	2267	A12	Tissue_stem_cells
Neuroepithelial_cell_A12	Neuroepithelial_cell	378030.7894	13631	A12	Neuroepithelial_cell
HSC_CD34+_A12	HSC_CD34+	937549.7755	26130	A12	HSC_CD34+
iPS_cells_A12	iPS_cells	37824.07785	2713	A12	iPS_cells
HSC_-G-CSF_A12	HSC_-G-CSF	75120.62222	11383	A12	HSC_-G-CSF
Keratinocytes_A12	Keratinocytes	57657.72605	2963	A12	Keratinocytes
Erythroblast_A12	Erythroblast	102627.2844	8885	A12	Erythroblast
Epithelial_cells_A12	Epithelial_cells	41741.62975	2632	A12	Epithelial_cells
Fibroblasts_A12	Fibroblasts	1343878.668	26962	A12	Fibroblasts
Osteoblasts_A12	Osteoblasts	4214844.055	45455	A12	Osteoblasts
BM & Prog._A12	BM & Prog.	101813.1544	13304	A12	BM & Prog.
Embryonic_stem_cells_A12	Embryonic_stem_cells	387087.9671	13662	A12	Embryonic_stem_cells
MSC_A12	MSC	585116.2362	20349	A12	MSC
T_cells_A20	T_cells	52180101.6	53694	A20	T_cells
Monocyte_A20	Monocyte	17483963.67	44924	A20	Monocyte
Myelocyte_A20	Myelocyte	1411067.243	29174	A20	Myelocyte
NK_cell_A20	NK_cell	32657385.55	51383	A20	NK_cell
Macrophage_A20	Macrophage	1866453.478	29813	A20	Macrophage
Platelets_A20	Platelets	1012909.508	24447	A20	Platelets
B_cell_A20	B_cell	3743556.532	34610	A20	B_cell
GMP_A20	GMP	2772656.683	32700	A20	GMP
Pro-Myelocyte_A20	Pro-Myelocyte	128267.4471	15050	A20	Pro-Myelocyte
Pre-B_cell_CD34-_A20	Pre-B_cell_CD34-	2058343.447	29589	A20	Pre-B_cell_CD34-
BM_A20	BM	23509.97474	1527	A20	BM
Pro-B_cell_CD34+_A20	Pro-B_cell_CD34+	1486259.563	29480	A20	Pro-B_cell_CD34+
Neurons_A20	Neurons	11279852.92	52885	A20	Neurons
Neutrophils_A20	Neutrophils	723464.2861	23577	A20	Neutrophils
Endothelial_cells_A20	Endothelial_cells	158941.5019	5554	A20	Endothelial_cells
CMP_A20	CMP	371047.7939	22651	A20	CMP
Astrocyte_A20	Astrocyte	5269084.463	46938	A20	Astrocyte
DC_A20	DC	386503.6131	21203	A20	DC
Chondrocytes_A20	Chondrocytes	140615.3479	4543	A20	Chondrocytes
Hepatocytes_A20	Hepatocytes	108412.9103	5353	A20	Hepatocytes
Gametocytes_A20	Gametocytes	484822.7516	11803	A20	Gametocytes
Smooth_muscle_cells_A20	Smooth_muscle_cells	143649.9588	4380	A20	Smooth_muscle_cells
MEP_A20	MEP	544545.8766	23178	A20	MEP
Tissue_stem_cells_A20	Tissue_stem_cells	55937.67371	2508	A20	Tissue_stem_cells
Neuroepithelial_cell_A20	Neuroepithelial_cell	265365.9999	10805	A20	Neuroepithelial_cell
HSC_CD34+_A20	HSC_CD34+	207963.0316	15498	A20	HSC_CD34+
iPS_cells_A20	iPS_cells	53909.77056	3763	A20	iPS_cells
HSC_-G-CSF_A20	HSC_-G-CSF	141190.7247	14891	A20	HSC_-G-CSF
Keratinocytes_A20	Keratinocytes	137208.7964	5017	A20	Keratinocytes
Erythroblast_A20	Erythroblast	100314.537	5716	A20	Erythroblast
Epithelial_cells_A20	Epithelial_cells	127649.3323	4676	A20	Epithelial_cells
Fibroblasts_A20	Fibroblasts	108809.1564	4389	A20	Fibroblasts
Osteoblasts_A20	Osteoblasts	4537191.416	45456	A20	Osteoblasts
BM & Prog._A20	BM & Prog.	45082.54455	6232	A20	BM & Prog.
Embryonic_stem_cells_A20	Embryonic_stem_cells	611552.0816	13646	A20	Embryonic_stem_cells
MSC_A20	MSC	110341.6851	4237	A20	MSC
T_cells_D22	T_cells	34870977.72	54592	D22	T_cells
Monocyte_D22	Monocyte	17265384.86	49648	D22	Monocyte
Myelocyte_D22	Myelocyte	1314169.178	28385	D22	Myelocyte
NK_cell_D22	NK_cell	25165834.26	52836	D22	NK_cell
Macrophage_D22	Macrophage	2608515.764	34139	D22	Macrophage
Platelets_D22	Platelets	580316.3626	16034	D22	Platelets
B_cell_D22	B_cell	4127393.021	39231	D22	B_cell
GMP_D22	GMP	2857639.261	34602	D22	GMP
Pro-Myelocyte_D22	Pro-Myelocyte	303916.0797	19525	D22	Pro-Myelocyte
Pre-B_cell_CD34-_D22	Pre-B_cell_CD34-	2007240.941	31526	D22	Pre-B_cell_CD34-
BM_D22	BM	63215.46964	3475	D22	BM
Pro-B_cell_CD34+_D22	Pro-B_cell_CD34+	1092578.656	28237	D22	Pro-B_cell_CD34+
Neurons_D22	Neurons	8359918.755	51663	D22	Neurons
Neutrophils_D22	Neutrophils	1720135.552	31401	D22	Neutrophils
Endothelial_cells_D22	Endothelial_cells	613530.9459	17653	D22	Endothelial_cells
CMP_D22	CMP	386903.469	21228	D22	CMP
Astrocyte_D22	Astrocyte	8222747.724	51657	D22	Astrocyte
DC_D22	DC	741276.552	25292	D22	DC
Chondrocytes_D22	Chondrocytes	466117.7565	13845	D22	Chondrocytes
